Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_bottle,,A single bottle left in the night breeze. Its presence lingers more than its contents.,夜風に置かれた一本のボトル。中身よりも存在感が残る。,夜风里放着的一瓶，存在感比内容更强。,夜風裡放著的一瓶，存在感比內容更強。,Une bouteille laissée dans le vent de nuit. Sa présence reste plus que son contenu.,Eine Flasche im Nachtwind. Ihre Präsenz bleibt mehr als ihr Inhalt.,Una bottiglia nel vento di notte. La presenza resta più del contenuto.,Uma garrafa no vento da noite. A presença fica mais que o conteúdo.,Una botella en el viento nocturno. Su presencia queda más que su contenido.,밤바람에 놓인 병 하나. 내용보다 존재감이 남는다.,Одна бутылка на ночном ветру. Присутствие остаётся сильнее содержимого.
desc_bowl,,A bowl that catches late-night snacks. Often used while watching the stars.,深夜の軽食を受け止める器。星を見ながら使われがち。,盛住深夜小食的碗，常在看星星时使用。,盛住深夜小食的碗，常在看星星時使用。,Bol qui accueille les snacks de nuit. Souvent utilisé en regardant les étoiles.,Schale für nächtliche Snacks. Oft beim Sternegucken genutzt.,Ciotola per snack notturni. Spesso usata guardando le stelle.,Tigela para lanches noturnos. Muitas vezes usada olhando as estrelas.,Cuenco para snacks nocturnos. Se usa mucho mirando las estrellas.,심야 간식을 받는 그릇. 별 보며 쓰이기 쉽다.,Миска для ночных перекусов. Часто используется при взгляде на звёзды.
desc_plate,,A rooftop stage for one plate. The mood often steals the show.,屋上での一皿分の舞台。料理より雰囲気が主役。,屋顶上一盘的舞台，氛围常比料理抢镜。,屋頂上一盤的舞台，氛圍常比料理搶鏡。,Scène de toit pour une assiette. L'ambiance vole souvent la vedette.,Dachbühne für einen Teller. Die Stimmung stiehlt oft die Show.,Palco sul tetto per un piatto. L'atmosfera ruba spesso la scena.,Palco no telhado para um prato. O clima costuma roubar a cena.,Escenario de tejado para un plato. El ambiente suele robarse el show.,옥상의 한 접시 무대. 분위기가 주연을 가로채곤 한다.,Крыша это сцена для одной тарелки. Атмосфера часто забирает внимание.
desc_mug,,A mug that holds a night-time breather. It also warms your hands.,夜の一息を受け止めるマグ。手を温める役目も兼ねている。,承载夜里小憩的马克杯，也负责暖手。,承載夜裡小憩的馬克杯，也負責暖手。,Mug qui accueille une pause nocturne. Il réchauffe aussi les mains.,Becher für eine Nachtpause. Er wärmt auch die Hände.,Tazza per una pausa notturna. Riscalda anche le mani.,Caneca para um respiro noturno. Também aquece as mãos.,Taza para un respiro nocturno. También calienta las manos.,밤의 한숨을 담는 머그. 손도 따뜻하게 한다.,Кружка для ночной передышки. Она тоже греет руки.
desc_pot,,A pot that raises daily life along with the steam. The wind is a bit cold.,湯気と一緒に生活感を立ち上げる道具。風が少し冷たい。,连同蒸汽一起把生活感升起来的锅，风有点凉。,連同蒸汽一起把生活感升起來的鍋，風有點涼。,Casserole qui fait monter la vie avec la vapeur. Le vent est un peu froid.,Topf der mit Dampf den Alltag hebt. Der Wind ist etwas kalt.,Pentola che fa salire il quotidiano con il vapore. Il vento è un po' freddo.,Panela que levanta o cotidiano com o vapor. O vento está um pouco frio.,Olla que levanta la vida diaria con el vapor. El viento está algo frío.,김과 함께 생활감을 올리는 냄비. 바람이 조금 차다.,Кастрюля что поднимает быт вместе с паром. Ветер немного холодный.
desc_frying_pan,,On the rooftop only the sizzle echoes. It gets tossed even when no one watches.,焼き音だけが響く屋上。誰にも見られていなくても振られる。,屋顶只回响着滋滋声，就算没人看也会被翻炒。,屋頂只迴響著滋滋聲，就算沒人看也會被翻炒。,Sur le toit seul le grésillement résonne. Elle est secouée même sans public.,Auf dem Dach hallt nur das Brutzeln. Sie wird auch ohne Publikum geschwenkt.,Sul tetto risuona solo lo sfrigolio. Viene mossa anche senza pubblico.,No telhado só o chiado ecoa. É mexida mesmo sem público.,En el tejado solo suena el chisporroteo. Se saltea aunque nadie mire.,옥상엔 지글 소리만 울린다. 아무도 안 봐도 휘두른다.,На крыше слышно лишь шипение. Её подбрасывают даже без зрителей.
desc_teapot,,Pouring hot water calms the night. Time loosens a little.,お湯を注ぐと夜が落ち着く。時間が少しゆるむ。,一倒热水夜晚就安静了，时间也松了点。,一倒熱水夜晚就安靜了，時間也鬆了點。,Verser de l'eau chaude calme la nuit. Le temps se détend un peu.,Heißes Wasser eingießen beruhigt die Nacht. Die Zeit wird etwas weicher.,Versare acqua calda calma la notte. Il tempo si allenta un poco.,Derramar água quente acalma a noite. O tempo afrouxa um pouco.,Verter agua caliente calma la noche. El tiempo se afloja un poco.,뜨거운 물을 따르면 밤이 가라앉는다. 시간이 조금 느슨해진다.,Налить горячей воды успокаивает ночь. Время немного расслабляется.
desc_teacup,,A quiet night poured into a small cup. The ritual lasts until the last sip.,小さな器に注がれる静かな夜。飲み終わるまでが儀式。,小杯里注入安静的夜，喝完才算仪式结束。,小杯裡注入安靜的夜，喝完才算儀式結束。,Nuit calme versée dans une petite tasse. Le rituel dure jusqu'à la dernière gorgée.,Ruhige Nacht in eine kleine Tasse gegossen. Das Ritual dauert bis zum letzten Schluck.,Notte quieta versata in una tazzina. Il rito dura fino all'ultimo sorso.,Noite tranquila servida numa xícara pequena. O ritual vai até o último gole.,Noche tranquila en una taza pequeña. El ritual dura hasta el último sorbo.,작은 잔에 따르는 고요한 밤. 마지막 한 모금까지가 의식.,Тихая ночь налита в маленькую чашку. Ритуал длится до последнего глотка.
desc_dish_rack,,A temporary stop for washed dishes. Sometimes they stay there until morning.,洗い終えた食器たちの仮置き場。朝までそのままになることもある。,洗完餐具的临时停靠地，有时会放到早上。,洗完餐具的臨時停靠地，有時會放到早上。,Arrêt temporaire pour la vaisselle lavée. Parfois elle reste jusqu'au matin.,Zwischenstopp für gespültes Geschirr. Manchmal bleibt es bis zum Morgen.,Sosta temporanea per i piatti lavati. A volte restano fino al mattino.,Parada temporária para a louça lavada. Às vezes fica até de manhã.,Parada temporal para los platos lavados. A veces se quedan hasta la mañana.,씻은 그릇의 임시 거처. 아침까지 그대로일 때도.,Временная стоянка для вымытой посуды. Иногда остаётся до утра.
desc_trash_can_small,,Quietly holds the night's trash. When it's full it forces reality on you.,夜のゴミをそっと預かる存在。満杯になると現実を突きつける。,悄悄收下夜里的垃圾，满了就把现实拍脸上。,悄悄收下夜裡的垃圾，滿了就把現實拍臉上。,Contient discrètement les déchets de la nuit. Plein il rappelle la réalité.,Hält still den Nachtmüll. Voll konfrontiert er dich mit der Realität.,Contiene in silenzio i rifiuti della notte. Da pieno ti riporta alla realtà.,Guarda silenciosamente o lixo da noite. Cheio te traz de volta à realidade.,Guarda en silencio la basura de la noche. Lleno te enfrenta a la realidad.,밤의 쓰레기를 조용히 담는다. 가득 차면 현실을 들이댄다.,Тихо хранит ночной мусор. Полный сталкивает с реальностью.
desc_trash_can_large,,The comfort of tossing things without thinking. A little regret the next morning.,何も考えずに放り込める安心感。翌朝、少し後悔する。,不用多想就能扔的安心感，第二天会有点后悔。,不用多想就能扔的安心感，第二天會有點後悔。,Le confort de jeter sans réfléchir. Un petit regret le lendemain matin.,Der Komfort etwas gedankenlos zu werfen. Etwas Reue am Morgen.,Il conforto di buttare senza pensare. Un po' di rimpianto al mattino.,O conforto de jogar fora sem pensar. Um pouco de arrependimento na manhã seguinte.,La comodidad de tirar sin pensar. Un pequeño arrepentimiento al día siguiente.,생각 없이 버릴 수 있는 안도감. 다음 날 약간 후회.,Комфорт выбрасывать без мыслей. Немного сожаления на утро.
,,,,,,,,,,,,
desc_low_shelf_a,,A low shelf that quietly catches things at the rooftop edge. It gets a little night breeze.,屋上の端で静かに物を受け止める低い棚。夜風に少しさらされている。,屋顶边缘安静接物的矮架子，略受夜风。,屋頂邊緣安靜接物的矮架子，略受夜風。,Une étagère basse qui recueille doucement les choses au bord du toit. Elle reçoit un peu de brise nocturne.,"Ein niedriges Regal, das am Dachrand Dinge leise auffängt. Es bekommt etwas Nachtwind.",Uno scaffale basso che raccoglie le cose al bordo del tetto. Prende un po' di brezza notturna.,Uma prateleira baixa que recolhe coisas na borda do telhado. Recebe um pouco de brisa noturna.,Una estantería baja que recoge cosas en el borde de la azotea. Recibe un poco de brisa nocturna.,옥상 가장자리에서 물건을 조용히 받아주는 낮은 선반. 밤바람을 조금 맞는다.,"Низкая полка, тихо принимающая вещи у края крыши. Она ловит лёгкий ночной ветер."
desc_low_shelf_b,,A modest height that feels just right. Only the presence of what was placed remains.,主張しない高さがちょうどいい。置かれた物の気配だけが残る。,不过分的高度刚好，留下的只有摆放物的气息。,不過分的高度剛好，留下的只有擺放物的氣息。,Une hauteur discrète qui tombe juste. Il ne reste que la présence de ce qui a été posé.,"Eine unaufdringliche Höhe, genau richtig. Es bleibt nur die Präsenz des Abgelegten.",Un'altezza discreta e giusta. Resta solo la presenza di ciò che è stato appoggiato.,"Uma altura discreta, na medida. Só fica a presença do que foi colocado.",Una altura modesta que se siente justa. Solo queda la presencia de lo que se colocó.,과하지 않은 높이. 놓인 물건의 기척만 남는다.,"Скромная высота, которая кажется правильной. Остаётся лишь присутствие положенного."
